"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"J. M. Amador Elementary","Dublin Unified","2100 E. Cantara Dr.","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","968","39.00","24.82","No","17","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/2016","060001913862","Rural, Fringe","","","","","","968","","314","372","384","296","298","272","","","","","","","","","0","","128","48","24","1602","10","2","122","6.61","2.48","1.24","82.75","0.52","0.10","6.30","","",""
"Henry P. Mohr Elementary","Pleasanton Unified","3300 Dennis Dr.","Pleasanton","CA","94588","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","629","25.50","24.67","No","29","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/285","060002006951","City, Small","","","","","","629","","238","200","230","196","198","196","","","","","","","","","0","","182","64","18","944","4","2","44","14.47","5.09","1.43","75.04","0.32","0.16","3.50","","",""
"Thomas S. Hart Middle","Pleasanton Unified","4433 Willow Rd.","Pleasanton","CA","94588","Regular School","Open","Middle","Alameda County","6, 7, 8","1247","54.20","23.01","No","100","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/1687","060002008444","City, Small","","","","","","1247","","","","","","","","806","860","828","","","","","","0","","844","192","44","1218","2","6","188","33.84","7.70","1.76","48.84","0.08","0.24","7.54","","",""
"Phoebe Apperson Hearst Elementary","Pleasanton Unified","5301 Case Ave.","Pleasanton","CA","94566","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","675","26.00","25.96","No","52","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/1688","060002008445","City, Small","","","","","","675","","184","200","204","234","264","264","","","","","","","","","0","","414","130","30","702","2","2","70","30.67","9.63","2.22","52.00","0.15","0.15","5.19","","",""
"Amador Valley High","Pleasanton Unified","1155 Santa Rita Rd.","Pleasanton","CA","94566","Regular School","Open","High","Alameda County","9, 10, 11, 12","2673","113.90","23.47","No","177","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/279","060002009282","City, Small","","","","Virtual school","","2673","","","","","","","","","","","1402","1320","1326","1298","","0","","2544","452","80","2114","8","8","140","47.59","8.45","1.50","39.54","0.15","0.15","2.62","Not all female high school","Majority minority high school","Not inner city high school"
"Lydiksen Elementary","Pleasanton Unified","7700 Highland Oaks Dr.","Pleasanton","CA","94588","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","628","27.00","23.26","No","40","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/284","060002009284","City, Small","","","","","","628","","210","204","212","208","210","212","","","","","","","","","0","","504","106","12","562","","4","68","40.13","8.44","0.96","44.75","","0.32","5.41","","",""
"Alisal Elementary","Pleasanton Unified","1454 Santa Rita Rd.","Pleasanton","CA","94566","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","622","26.00","23.92","No","52","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/278","060002009285","City, Small","","","","","","622","","216","160","206","210","254","198","","","","","","","","","0","","526","136","6","486","2","","88","42.28","10.93","0.48","39.07","0.16","","7.07","","",""
"Valley View Elementary","Pleasanton Unified","480 Adams Way","Pleasanton","CA","94566","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","645","26.17","24.65","No","151","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/287","060002009287","City, Small","","","","","","645","","250","182","210","214","214","220","","","","","","","","","0","","554","470","14","160","2","2","88","42.95","36.43","1.09","12.40","0.16","0.16","6.82","","",""
"Walnut Grove Elementary","Pleasanton Unified","1999 Harvest Rd.","Pleasanton","CA","94566","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","728","27.00","26.96","No","27","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/290","060002009288","City, Small","","","","","","728","","188","200","252","250","302","264","","","","","","","","","0","","792","46","12","512","","","94","54.40","3.16","0.82","35.16","","","6.46","","",""
"Vintage Hills Elementary","Pleasanton Unified","1125 Concord St.","Pleasanton","CA","94566","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","634","25.40","24.96","No","34","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/289","060002009290","City, Small","","","","","","634","","196","200","208","204","196","264","","","","","","","","","0","","582","96","18","478","","4","90","45.90","7.57","1.42","37.70","","0.32","7.10","","",""
