"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"Niles Elementary","Fremont Unified","37141 Second St.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","605","23.00","26.30","No","76","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/96","061440001680","Suburban, Large","","","","","","605","","188","144","144","200","174","180","180","","","","","","","","0","","326","162","16","628","2","","76","26.94","13.39","1.32","51.90","0.17","","6.28","","",""
"Parkmont Elementary","Fremont Unified","2601 Parkside Dr.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","881","32.80","26.86","No","91","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/98","061440001684","Suburban, Large","","","","","","881","","288","240","240","280","240","240","234","","","","","","","","0","","142","192","16","1346","6","4","56","8.06","10.90","0.91","76.39","0.34","0.23","3.18","","",""
"Patterson Elementary","Fremont Unified","35521 Cabrillo Dr.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","770","30.51","25.24","No","177","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/99","061440001685","Suburban, Large","","","","","","770","","326","218","234","196","208","180","178","","","","","","","","0","","156","256","56","990","4","10","68","10.13","16.62","3.64","64.29","0.26","0.65","4.42","","",""
"Robertson High (Continuation)","Fremont Unified","4455 Seneca Park Ave.","Fremont","CA","94538","Alternative School","Open","High","Alameda County","9, 10, 11, 12","167","18.00","9.28","No","83","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/100","061440001686","Suburban, Large","","","","","","167","","","","","","","","","","","0","12","120","202","","0","","84","150","24","56","4","0","16","25.15","44.91","7.19","16.77","1.20","0.00","4.79","Not all female high school","Majority minority high school","Not inner city high school"
"Thornton Junior High","Fremont Unified","4357 Thornton Ave.","Fremont","CA","94536","Regular School","Open","Middle","Alameda County","7, 8","1333","54.93","24.27","No","209","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/101","061440001687","Suburban, Large","","","","","","1333","","","","","","","","","1354","1312","","","","","","0","","328","212","66","1912","6","26","116","12.30","7.95","2.48","71.72","0.23","0.98","4.35","","",""
"Vallejo Mill Elementary","Fremont Unified","38569 Canyon Heights Dr.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","542","23.00","23.57","No","148","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/102","061440001688","Suburban, Large","","","","","","542","","188","140","140","148","162","150","156","","","","","","","","0","","196","330","38","466","4","6","44","18.08","30.44","3.51","42.99","0.37","0.55","4.06","","",""
"G. M. Walters Junior High","Fremont Unified","39600 Logan Dr.","Fremont","CA","94538","Regular School","Open","Middle","Alameda County","7, 8","742","37.00","20.05","No","309","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/103","061440001689","Suburban, Large","","","","","","742","","","","","","","","","826","658","","","","","","0","","308","474","52","568","2","16","64","20.75","31.94","3.50","38.27","0.13","1.08","4.31","","",""
"Circle of Independent Learning","Fremont Unified","4700 Calaveras Ave.","Fremont","CA","94538","Regular School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","347","15.96","21.74","No","143","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/75","061440007479","Suburban, Large","","Charter school","","Virtual school","","347","","4","14","10","12","36","38","48","54","52","80","96","102","148","","0","","138","196","18","302","4","6","30","19.88","28.24","2.59","43.52","0.58","0.86","4.32","","",""
"Ardenwood Elementary","Fremont Unified","33955 Emilia Ln.","Fremont","CA","94555","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","948","36.00","26.33","No","83","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/67","061440008138","Suburban, Large","","","","","","948","","284","240","268","324","300","240","240","","","","","","","","0","","142","88","20","1584","","2","60","7.49","4.64","1.05","83.54","","0.11","3.16","","",""
"Vista Alternative","Fremont Unified","4455 Seneca Park Ave.","Fremont","CA","94538","Alternative School","Open","High","Alameda County","7, 8, 9, 10, 11, 12","25","","","No","9","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/0865","061440009369","Suburban, Large","","","","Virtual school","","25","","","","","","","","","0","0","0","4","26","20","","0","","18","16","0","12","0","2","2","36.00","32.00","0.00","24.00","0.00","4.00","4.00","Not all female high school","Majority minority high school","Not inner city high school"
"Bowman Elementary","Hayward Unified","520 Jefferson St.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","350","14.67","23.86","No","259","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/108","061674002104","City, Midsize","","","","","","350","","96","112","84","114","90","82","122","","","","","","","","0","","28","468","52","108","2","24","18","4.00","66.86","7.43","15.43","0.29","3.43","2.57","","",""
"Bret Harte Middle","Hayward Unified","1047 E St.","Hayward","CA","94540","Regular School","Open","Middle","Alameda County","7, 8","613","25.50","24.04","No","424","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/110","061674002105","City, Midsize","","","","","","613","","","","","","","","","604","622","","","","","","0","","92","718","212","106","2","24","72","7.50","58.56","17.29","8.65","0.16","1.96","5.87","","",""
"Burbank Elementary","Hayward Unified","353 B St.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","914","35.00","26.11","No","602","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/111","061674002106","City, Midsize","","","","","","914","","316","246","266","260","232","272","236","","","","","","","","0","","42","1444","144","122","6","22","48","2.30","78.99","7.88","6.67","0.33","1.20","2.63","","",""
"Martin Luther King Jr. Middle","Hayward Unified","26890 Holly Hill Ave.","Hayward","CA","94545","Regular School","Open","Middle","Alameda County","7, 8","732","30.78","23.78","Yes under Provision 2","511","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/124","061674002107","City, Midsize","","","","","","732","","","","","","","","","738","726","","","","","","0","","32","1000","100","260","4","54","14","2.19","68.31","6.83","17.76","0.27","3.69","0.96","","",""
"Cherryland Elementary","Hayward Unified","585 Willow Ave.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","759","30.00","25.30","Yes under Provision 2","543","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/113","061674002108","Suburban, Large","","","","","","759","","252","196","226","194","218","216","216","","","","","","","","0","","32","1306","88","38","","18","36","2.11","86.03","5.80","2.50","","1.19","2.37","","",""
"East Avenue Elementary","Hayward Unified","2424 E. Ave.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","581","24.00","24.21","No","352","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/114","061674002109","Suburban, Large","","","","","","581","","160","158","176","188","170","146","164","","","","","","","","0","","126","602","200","102","2","56","74","10.84","51.81","17.21","8.78","0.17","4.82","6.37","","",""
"Eldridge Elementary","Hayward Unified","26825 Eldridge Ave.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","423","16.00","26.44","No","301","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/117","061674002111","City, Midsize","","","","","","423","","108","104","106","114","136","144","134","","","","","","","","0","","18","564","66","118","4","44","32","2.13","66.67","7.80","13.95","0.47","5.20","3.78","","",""
"Fairview Elementary","Hayward Unified","23515 Maud Ave.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","567","22.50","25.20","No","404","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/118","061674002113","Suburban, Large","","","","","","567","","218","164","164","156","156","128","148","","","","","","","","0","","74","612","238","100","6","26","78","6.53","53.97","20.99","8.82","0.53","2.29","6.88","","",""
"Harder Elementary","Hayward Unified","495 Wyeth Rd.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","608","24.00","25.33","Yes under Provision 2","410","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/120","061674002115","City, Midsize","","","","","","608","","156","162","172","176","180","188","182","","","","","","","","0","","26","956","64","110","4","32","24","2.14","78.62","5.26","9.05","0.33","2.63","1.97","","",""
"Hayward High","Hayward Unified","1633 E. Ave.","Hayward","CA","94541","Regular School","Open","High","Alameda County","9, 10, 11, 12","1607","71.68","22.42","No","1141","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/121","061674002116","City, Midsize","","","","","","1607","","","","","","","","","","","914","778","798","724","","0","","242","2026","458","312","10","88","78","7.53","63.04","14.25","9.71","0.31","2.74","2.43","Not all female high school","Majority minority high school","Not inner city high school"
"Cesar Chavez Middle","Hayward Unified","27845 Whitman Rd.","Hayward","CA","94544","Regular School","Open","Middle","Alameda County","7, 8","548","24.56","22.31","Yes under Provision 2","427","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/112","061674002118","City, Midsize","","","","","","548","","","","","","","","","564","532","","","","","","0","","22","776","60","172","8","44","14","2.01","70.80","5.47","15.69","0.73","4.01","1.28","","",""
"Lorin A. Eden Elementary","Hayward Unified","27790 Portsmouth Ave.","Hayward","CA","94545","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","421","16.00","26.31","No","236","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/115","061674002121","City, Midsize","","","","","","421","","104","98","92","106","144","152","146","","","","","","","","0","","22","336","82","324","2","40","36","2.61","39.90","9.74","38.48","0.24","4.75","4.28","","",""
"Mt. Eden High","Hayward Unified","2300 Panama St.","Hayward","CA","94545","Regular School","Open","High","Alameda County","9, 10, 11, 12","1978","86.17","22.95","No","1294","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/127","061674002124","City, Midsize","","","","","","1978","","","","","","","","","","","982","1032","1004","938","","0","","192","2164","298","1078","10","156","58","4.85","54.70","7.53","27.25","0.25","3.94","1.47","Not all female high school","Majority minority high school","Not inner city high school"
"Palma Ceia Elementary","Hayward Unified","27679 Melbourne Ave.","Hayward","CA","94545","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","557","23.00","24.22","No","399","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/130","061674002126","City, Midsize","","","","","","557","","144","142","190","140","168","154","176","","","","","","","","0","","28","670","64","262","2","40","48","2.51","60.14","5.75","23.52","0.18","3.59","4.31","","",""
"Park Elementary","Hayward Unified","411 Larchmont St.","Hayward","CA","94540","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","552","23.00","24.00","No","423","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/131","061674002127","City, Midsize","","","","","","552","","202","160","148","156","136","136","166","","","","","","","","0","","28","768","70","146","2","44","46","2.54","69.57","6.34","13.22","0.18","3.99","4.17","","",""
"Winton Middle","Hayward Unified","119 Winton Ave.","Hayward","CA","94540","Regular School","Open","Middle","Alameda County","7, 8","509","22.22","22.91","Yes under Provision 2","404","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/140","061674002137","City, Midsize","","","","","","509","","","","","","","","","488","530","","","","","","0","","32","760","92","90","4","28","12","3.14","74.66","9.04","8.84","0.39","2.75","1.18","","",""
"Strobridge Elementary","Hayward Unified","21400 Bedford Dr.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","540","20.00","27.00","Yes under Provision 2","348","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/136","061674008855","City, Midsize","","","","","","540","","148","134","154","146","172","130","196","","","","","","","","0","","76","740","124","66","2","26","46","7.04","68.52","11.48","6.11","0.19","2.41","4.26","","",""
"Stonebrae Elementary","Hayward Unified","28761 Hayward Blvd.","Hayward","CA","94542","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","746","30.50","24.46","No","349","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/7004","061674011550","City, Midsize","","","","","","746","","262","242","214","178","190","198","208","","","","","","","","0","","164","602","210","342","4","26","144","10.99","40.35","14.08","22.92","0.27","1.74","9.65","","",""
"Impact Academy of Arts & Technology","Hayward Unified","2560 Darwin St.","Hayward","CA","94545","Regular School","Open","High","Alameda County","7, 8, 9, 10, 11, 12","708","29.20","24.25","No","458","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7502","061674011849","City, Midsize","","Charter school","","","","708","","","","","","","","","246","244","248","256","216","206","","0","","100","884","118","202","18","46","48","7.06","62.43","8.33","14.27","1.27","3.25","3.39","Not all female high school","Majority minority high school","Not inner city high school"
"Golden Oak Montessori of Hayward","Hayward Unified","2652 Vergil Ct.","Castro Valley","CA","94546","Regular School","Open","Primary","Alameda County","1, 2, 3, 4, 5, 6, 7, 8","249","10.00","24.90","No","60","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/5125","061674012426","Suburban, Large","","Charter school","","","","249","","","60","72","68","72","72","52","58","44","","","","","","0","","118","192","40","98","","10","40","23.69","38.55","8.03","19.68","","2.01","8.03","","",""
"Special Education-Preschool-Laurel","Hayward Unified","2652 Vergil Ct.","Castro Valley","CA","94546","Regular School","Open","Other","Alameda County","","","","","No","","Unknown","","","","061674013405","Suburban, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Silver Oak High Public Montessori Charter","Hayward Unified","951 Palisade St.","Hayward","CA","94542","Regular School","Open","High","Alameda County","9, 10, 11, 12","198","5.50","36.00","No","116","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/7149","061674013531","City, Midsize","","Charter school","","","","198","","","","","","","","","","","136","102","104","54","","0","","80","212","30","42","4","2","26","20.20","53.54","7.58","10.61","1.01","0.51","6.57","Not all female high school","Majority minority high school","Inner city high school"
"Highland","Hayward Unified","2021 Highland Blvd.","Hayward","CA","94540","Special Education School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","25","","","No","21","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2004","061674013823","City, Midsize","","","","","","25","","8","8","4","10","14","0","6","0","0","0","0","0","0","","0","","6","22","20","0","0","2","0","12.00","44.00","40.00","0.00","0.00","4.00","0.00","","",""
"Andrew N. Christensen Middle","Livermore Valley Joint Unified","5757 Haggin Oaks Ave.","Livermore","CA","94551","Regular School","Open","Middle","Alameda County","6, 7, 8","717","29.84","24.03","No","147","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/144","062211002618","Suburban, Small","","","","","","717","","","","","","","","526","464","444","","","","","","0","","700","320","40","226","8","6","134","48.81","22.32","2.79","15.76","0.56","0.42","9.34","","",""
"Del Valle Continuation High","Livermore Valley Joint Unified","2253 Fifth St.","Livermore","CA","94550","Alternative School","Open","High","Alameda County","7, 8, 9, 10, 11, 12","115","12.00","9.58","No","66","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/146","062211002621","Suburban, Small","","","","","","115","","","","","","","","","0","0","8","14","90","118","","0","","88","112","6","4","4","0","16","38.26","48.70","2.61","1.74","1.74","0.00","6.96","Not all female high school","Majority minority high school","Not inner city high school"
"Junction K-8","Livermore Valley Joint Unified","298 Junction Ave.","Livermore","CA","94551","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","888","43.00","20.65","No","573","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/156","062211002622","Suburban, Small","","","","","","888","","190","142","142","120","114","128","372","278","290","","","","","","0","","338","1244","34","96","2","10","52","19.03","70.05","1.91","5.41","0.11","0.56","2.93","","",""
"East Avenue Middle","Livermore Valley Joint Unified","3951 E. Ave.","Livermore","CA","94550","Regular School","Open","Middle","Alameda County","6, 7, 8","648","26.02","24.90","No","191","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/147","062211002623","Suburban, Small","","","","","","648","","","","","","","","470","404","422","","","","","","0","","630","396","16","132","6","","116","48.61","30.56","1.23","10.19","0.46","","8.95","","",""
"Granada High","Livermore Valley Joint Unified","400 Wall St.","Livermore","CA","94550","Regular School","Open","High","Alameda County","9, 10, 11, 12","2261","94.30","23.98","No","435","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/148","062211002626","Suburban, Small","","","","","","2261","","","","","","","","","","","1162","1176","1120","1026","","0","38","2408","1184","46","510","10","20","344","53.25","26.18","1.02","11.28","0.22","0.44","7.61","Not all female high school","Majority white high school","Not inner city high school"
"Jackson Avenue Elementary","Livermore Valley Joint Unified","554 Jackson Ave.","Livermore","CA","94550","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","552","23.30","23.69","No","226","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/149","062211002627","Suburban, Small","","","","","","552","","244","162","154","186","168","190","","","","","","","","","0","","454","448","12","100","2","4","84","41.12","40.58","1.09","9.06","0.18","0.36","7.61","","",""
"Livermore High","Livermore Valley Joint Unified","600 Maple St.","Livermore","CA","94550","Regular School","Open","High","Alameda County","9, 10, 11, 12","1936","84.49","22.91","No","450","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/151","062211002630","Suburban, Small","","","","","","1936","","","","","","","","","","","1062","1004","878","928","","0","","2000","1134","80","406","14","14","224","51.65","29.29","2.07","10.49","0.36","0.36","5.79","Not all female high school","Majority white high school","Not inner city high school"
"Marylin Avenue Elementary","Livermore Valley Joint Unified","800 Marylin Ave.","Livermore","CA","94551","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","416","20.90","19.90","No","322","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/152","062211002631","Suburban, Small","","","","","","416","","218","120","126","118","140","110","","","","","","","","","0","","92","622","16","60","","2","40","11.06","74.76","1.92","7.21","","0.24","4.81","","",""
"Sunset Elementary","Livermore Valley Joint Unified","1671 Frankfurt Way","Livermore","CA","94550","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","776","30.60","25.36","No","58","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/159","062211002635","Suburban, Small","","","","","","776","","282","264","238","260","256","252","","","","","","","","","0","","956","280","8","148","2","2","156","61.60","18.04","0.52","9.54","0.13","0.13","10.05","","",""
"Vineyard Alternative","Livermore Valley Joint Unified","1401 Almond Ave.","Livermore","CA","94550","Alternative School","Open","Other","Alameda County","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","133","13.55","9.82","No","31","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/0866","062211008877","Suburban, Small","","","","","","133","","","2","0","0","0","0","4","4","10","16","24","100","106","","0","","156","66","12","6","6","0","20","58.65","24.81","4.51","2.26","2.26","0.00","7.52","","",""
"Livermore Valley Charter Preparatory High","Livermore Valley Joint Unified","3090 Independence Dr.","Livermore","CA","94551","Regular School","Closed","Other","Alameda County","","","","","","","Unknown","","","","062211012554","Suburban, Small","","Charter school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mountain House Elementary","Mountain House Elementary","3950 Mountain House Rd.","Byron","CA","94514","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","20","","","No","16","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/160","062613003910","Rural, Fringe","","","","","","20","","8","4","2","4","6","2","8","2","4","","","","","","0","","14","12","","","2","10","2","35.00","30.00","","","5.00","25.00","5.00","","",""
"Alvarado Elementary","New Haven Unified","31100 Fredi St.","Union City","CA","94587","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","767","32.00","23.97","No","395","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/161","062691004065","Suburban, Large","","","","","","767","","248","226","258","260","254","288","","","","","","","","","0","","88","348","68","908","10","20","92","5.74","22.69","4.43","59.19","0.65","1.30","6.00","","",""
"Itliong-Vera Cruz","New Haven Unified","31604 Alvarado Blvd.","Union City","CA","94587","Regular School","Open","Middle","Alameda County","6, 7, 8","1378","55.30","24.92","No","557","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/162","062691004066","Suburban, Large","","","","","","1378","","","","","","","","868","994","894","","","","","","0","","174","542","170","1644","8","48","170","6.31","19.67","6.17","59.65","0.29","1.74","6.17","","",""
"Hillview Crest Elementary","New Haven Unified","31410 Wheelon Ave.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","540","23.20","23.28","No","387","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/168","062691004071","City, Midsize","","","","","","540","","232","178","170","168","152","180","","","","","","","","","0","","46","754","52","156","12","20","40","4.26","69.81","4.81","14.44","1.11","1.85","3.70","","",""
"Cesar Chavez Middle","New Haven Unified","2801 Hop Ranch Rd.","Union City","CA","94587","Regular School","Open","Middle","Alameda County","6, 7, 8","1252","54.50","22.97","No","778","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/165","062691004073","Suburban, Large","","","","","","1252","","","","","","","","810","834","860","","","","","","0","","134","1486","106","590","8","76","104","5.35","59.35","4.23","23.56","0.32","3.04","4.15","","",""
"Searles Elementary","New Haven Unified","33629 15th St.","Union City","CA","94587","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","673","28.00","24.04","No","443","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/172","062691004074","Suburban, Large","","","","","","673","","256","220","242","204","178","236","4","2","2","2","","","","","0","","62","878","52","262","8","36","48","4.61","65.23","3.86","19.47","0.59","2.67","3.57","","",""
"Guy Jr. Emanuele Elementary","New Haven Unified","100 Decoto Rd.","Union City","CA","94587","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","586","23.50","24.94","No","358","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/1683","062691007481","Suburban, Large","","","","","","586","","234","210","162","164","194","208","","","","","","","","","0","","64","628","56","362","16","6","40","5.46","53.58","4.78","30.89","1.37","0.51","3.41","","",""
"Pioneer Elementary","New Haven Unified","32737 Bel Aire St.","Union City","CA","94587","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","795","33.00","24.09","No","304","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/171","062691007795","Suburban, Large","","","","","","795","","268","238","256","244","266","318","","","","","","","","","0","","124","308","82","930","6","24","116","7.80","19.37","5.16","58.49","0.38","1.51","7.30","","",""
"Core Learning Academy at Conley-Caraballo High","New Haven Unified","541 Blanche St.","Hayward","CA","94544","Alternative School","Open","High","Alameda County","9, 10, 11, 12","154","8.60","17.91","No","79","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6833","062691011551","City, Midsize","","","","","","154","","","","","","","","","","","0","2","82","224","","0","","22","196","30","44","0","2","14","7.14","63.64","9.74","14.29","0.00","0.65","4.55","Not all female high school","Majority minority high school","Not inner city high school"
"Alternative Learning Academy at Conley-Caraballo High","New Haven Unified","541 Blanche St.","Hayward","CA","94544","Alternative School","Open","High","Alameda County","9, 10, 11, 12","11","","","No","7","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/6834","062691011552","City, Midsize","","","","","","11","","","","","","","","","","","0","2","6","14","","0","","2","14","4","0","0","0","2","9.09","63.64","18.18","0.00","0.00","0.00","9.09","Not all female high school","Majority minority high school","Not inner city high school"
"Decoto School for Independent Study","New Haven Unified","600 G St.","Union City","CA","94587","Alternative School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","118","5.70","20.70","No","59","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/6956","062691013202","Suburban, Large","","","","","","118","","0","2","6","4","0","8","0","2","8","8","32","52","114","","0","","22","144","22","30","2","4","12","9.32","61.02","9.32","12.71","0.85","1.69","5.08","","",""
"Crossroads High (Alternative)","Newark Unified","35753 Cedar Blvd.","Newark","CA","94560","Alternative School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","55","","","No","31","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/0867","062706001921","Suburban, Large","","","","","","55","","0","0","0","0","0","0","0","2","2","4","20","36","46","","0","","20","72","6","6","0","0","6","18.18","65.45","5.45","5.45","0.00","0.00","5.45","","",""
