X,Y,id,name
-13626151.3261433,4551547.63575803,1,"Coit Tower"
-13630804.4808584,4544522.53016046,2,"Twin Peaks"
-13627654.139269,4548289.41418402,3,"City Hall"
-13635101.4132031,4546903.60571273,4,"Golden Gate Park"
